"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/16/2019 12 a.m. EST",435772,421652,414495,-478
US48,"12/16/2019 1 a.m. EST",418961,404956,403299,-302
US48,"12/16/2019 2 a.m. EST",406111,395368,394426,1862
US48,"12/16/2019 3 a.m. EST",397900,388480,387285,2074
US48,"12/16/2019 4 a.m. EST",394210,387645,383133,1495
US48,"12/16/2019 5 a.m. EST",396197,395628,389450,1201
US48,"12/16/2019 6 a.m. EST",410749,414689,406140,703
US48,"12/16/2019 7 a.m. EST",439373,442196,433566,908
US48,"12/16/2019 8 a.m. EST",465973,466047,455405,742
US48,"12/16/2019 9 a.m. EST",479759,478521,467412,-171
US48,"12/16/2019 10 a.m. EST",486619,484683,474109,766
US48,"12/16/2019 11 a.m. EST",489365,486127,477261,603
US48,"12/16/2019 12 p.m. EST",486305,483277,473961,486
US48,"12/16/2019 1 p.m. EST",482513,478591,471079,639
US48,"12/16/2019 2 p.m. EST",478418,474688,467770,1214
US48,"12/16/2019 3 p.m. EST",475339,471765,464240,767
US48,"12/16/2019 4 p.m. EST",474673,472959,466765,1021
US48,"12/16/2019 5 p.m. EST",479822,479841,474047,862
US48,"12/16/2019 6 p.m. EST",493793,491061,484284,969
US48,"12/16/2019 7 p.m. EST",505981,501120,491076,425
US48,"12/16/2019 8 p.m. EST",511924,505502,497259,177
US48,"12/16/2019 9 p.m. EST",510523,502675,492210,-333
US48,"12/16/2019 10 p.m. EST",498797,488565,479443,-69
US48,"12/16/2019 11 p.m. EST",479594,467929,460999,91
US48,"12/17/2019 12 a.m. EST",457888,445654,437595,294
US48,"12/17/2019 1 a.m. EST",438100,427791,422577,202
US48,"12/17/2019 2 a.m. EST",422022,416924,407604,545
US48,"12/17/2019 3 a.m. EST",413099,408897,401016,927
US48,"12/17/2019 4 a.m. EST",410007,406731,399391,550
US48,"12/17/2019 5 a.m. EST",412048,413856,403235,65
US48,"12/17/2019 6 a.m. EST",424198,433568,417811,334
US48,"12/17/2019 7 a.m. EST",450394,461486,444750,549
US48,"12/17/2019 8 a.m. EST",478321,486927,468022,159
US48,"12/17/2019 9 a.m. EST",494138,499820,482202,-7
US48,"12/17/2019 10 a.m. EST",502700,504634,489653,447
US48,"12/17/2019 11 a.m. EST",503950,503213,491433,726
US48,"12/17/2019 12 p.m. EST",502663,497326,490676,866
US48,"12/17/2019 1 p.m. EST",496708,490412,485320,380
US48,"12/17/2019 2 p.m. EST",491419,484588,479879,1540
US48,"12/17/2019 3 p.m. EST",486896,479992,475779,1363
US48,"12/17/2019 4 p.m. EST",484486,478426,476032,1046
US48,"12/17/2019 5 p.m. EST",489149,484856,483407,831
